Latitude,Country
42.546245,Andorra
23.424076,United Arab Emirates
33.93911,Afghanistan
17.060816,Antigua and Barbuda
18.220554,Anguilla
41.153332,Albania
40.069099,Armenia
12.226079,Netherlands Antilles
-11.202692,Angola
-75.250973,Antarctica
-38.416097,Argentina
-14.270972,American Samoa
47.516231,Austria
-25.274398,Australia
12.52111,Aruba
40.143105,Azerbaijan
43.915886,Bosnia and Herzegovina
13.193887,Barbados
23.684994,Bangladesh
50.503887,Belgium
12.238333,Burkina Faso
42.733883,Bulgaria
25.930414,Bahrain
-3.373056,Burundi
9.30769,Benin
32.321384,Bermuda
4.535277,Brunei
-16.290154,Bolivia
-14.235004,Brazil
25.03428,Bahamas
27.514162,Bhutan
-54.423199,Bouvet Island
-22.328474,Botswana
53.709807,Belarus
17.189877,Belize
56.130366,Canada
-12.164165,Cocos [Keeling] Islands
-4.038333,Congo [DRC]
6.611111,Central African Republic
-0.228021,Congo [Republic]
46.818188,Switzerland
7.539989,Côte d'Ivoire
-21.236736,Cook Islands
-35.675147,Chile
7.369722,Cameroon
35.86166,China
4.570868,Colombia
9.748917,Costa Rica
21.521757,Cuba
16.002082,Cape Verde
-10.447525,Christmas Island
35.126413,Cyprus
49.817492,Czech Republic
51.165691,Germany
11.825138,Djibouti
56.26392,Denmark
15.414999,Dominica
18.735693,Dominican Republic
28.033886,Algeria
-1.831239,Ecuador
58.595272,Estonia
26.820553,Egypt
24.215527,Western Sahara
15.179384,Eritrea
40.463667,Spain
9.145,Ethiopia
61.92411,Finland
-16.578193,Fiji
-51.796253,Falkland Islands [Islas Malvinas]
7.425554,Micronesia
61.892635,Faroe Islands
46.227638,France
-0.803689,Gabon
55.378051,United Kingdom
12.262776,Grenada
42.315407,Georgia
3.933889,French Guiana
49.465691,Guernsey
7.946527,Ghana
36.137741,Gibraltar
71.706936,Greenland
13.443182,Gambia
9.945587,Guinea
16.995971,Guadeloupe
1.650801,Equatorial Guinea
39.074208,Greece
-54.429579,South Georgia and the South Sandwich Islands
15.783471,Guatemala
13.444304,Guam
11.803749,Guinea-Bissau
4.860416,Guyana
31.354676,Gaza Strip
22.396428,Hong Kong
-53.08181,Heard Island and McDonald Islands
15.199999,Honduras
45.1,Croatia
18.971187,Haiti
47.162494,Hungary
-0.789275,Indonesia
53.41291,Ireland
31.046051,Israel
54.236107,Isle of Man
20.593684,India
-6.343194,British Indian Ocean Territory
33.223191,Iraq
32.427908,Iran
64.963051,Iceland
41.87194,Italy
49.214439,Jersey
18.109581,Jamaica
30.585164,Jordan
36.204824,Japan
-0.023559,Kenya
41.20438,Kyrgyzstan
12.565679,Cambodia
-3.370417,Kiribati
-11.875001,Comoros
17.357822,Saint Kitts and Nevis
40.339852,North Korea
35.907757,South Korea
29.31166,Kuwait
19.513469,Cayman Islands
48.019573,Kazakhstan
19.85627,Laos
33.854721,Lebanon
13.909444,Saint Lucia
47.166,Liechtenstein
7.873054,Sri Lanka
6.428055,Liberia
-29.609988,Lesotho
55.169438,Lithuania
49.815273,Luxembourg
56.879635,Latvia
26.3351,Libya
31.791702,Morocco
43.750298,Monaco
47.411631,Moldova
42.708678,Montenegro
-18.766947,Madagascar
7.131474,Marshall Islands
41.608635,Macedonia [FYROM]
17.570692,Mali
21.913965,Myanmar [Burma]
46.862496,Mongolia
22.198745,Macau
17.33083,Northern Mariana Islands
14.641528,Martinique
21.00789,Mauritania
16.742498,Montserrat
35.937496,Malta
-20.348404,Mauritius
3.202778,Maldives
-13.254308,Malawi
23.634501,Mexico
4.210484,Malaysia
-18.665695,Mozambique
-22.95764,Namibia
-20.904305,New Caledonia
17.607789,Niger
-29.040835,Norfolk Island
9.081999,Nigeria
12.865416,Nicaragua
52.132633,Netherlands
60.472024,Norway
28.394857,Nepal
-0.522778,Nauru
-19.054445,Niue
-40.900557,New Zealand
21.512583,Oman
8.537981,Panama
-9.189967,Peru
-17.679742,French Polynesia
-6.314993,Papua New Guinea
12.879721,Philippines
30.375321,Pakistan
51.919438,Poland
46.941936,Saint Pierre and Miquelon
-24.703615,Pitcairn Islands
18.220833,Puerto Rico
31.952162,Palestinian Territories
39.399872,Portugal
7.51498,Palau
-23.442503,Paraguay
25.354826,Qatar
-21.115141,Réunion
45.943161,Romania
44.016521,Serbia
61.52401,Russia
-1.940278,Rwanda
23.885942,Saudi Arabia
-9.64571,Solomon Islands
-4.679574,Seychelles
12.862807,Sudan
60.128161,Sweden
1.352083,Singapore
-24.143474,Saint Helena
46.151241,Slovenia
77.553604,Svalbard and Jan Mayen
48.669026,Slovakia
8.460555,Sierra Leone
43.94236,San Marino
14.497401,Senegal
5.152149,Somalia
3.919305,Suriname
0.18636,São Tomé and Príncipe
13.794185,El Salvador
34.802075,Syria
-26.522503,Swaziland
21.694025,Turks and Caicos Islands
15.454166,Chad
-49.280366,French Southern Territories
8.619543,Togo
15.870032,Thailand
38.861034,Tajikistan
-8.967363,Tokelau
-8.874217,Timor-Leste
38.969719,Turkmenistan
33.886917,Tunisia
-21.178986,Tonga
38.963745,Turkey
10.691803,Trinidad and Tobago
-7.109535,Tuvalu
23.69781,Taiwan
-6.369028,Tanzania
48.379433,Ukraine
1.373333,Uganda
19.2823,U.S. Minor Outlying Islands
37.09024,United States
-32.522779,Uruguay
41.377491,Uzbekistan
41.902916,Vatican City
12.984305,Saint Vincent and the Grenadines
6.42375,Venezuela
18.420695,British Virgin Islands
18.335765,U.S. Virgin Islands
14.058324,Vietnam
-15.376706,Vanuatu
-13.768752,Wallis and Futuna
-13.759029,Samoa
42.602636,Kosovo
15.552727,Yemen
-12.8275,Mayotte
-30.559482,South Africa
-13.133897,Zambia
-19.015438,Zimbabwe
